Implementation;Method;listSize;Score;Score Error;Allocation Rate
CLOJURE_HASH_MAP;getCollision;1;38,172;0,082;0
CLOJURE_HASH_MAP;getCollision;4;69,705;0,203;0
CLOJURE_HASH_MAP;getCollision;10;65,99;0,103;0
CLOJURE_HASH_MAP;getCollision;15;80,628;0,118;0
CLOJURE_HASH_MAP;getCollision;20;67,84;0,129;0
CLOJURE_HASH_MAP;getCollision;25;73,703;0,165;0
CLOJURE_HASH_MAP;getCollision;50;76,937;0,1;0
CLOJURE_HASH_MAP;getCollision;100;74,393;0,105;0
CLOJURE_HASH_MAP;getCollision;1000;105,492;0,489;0
CLOJURE_HASH_MAP;getCollision;10000;131,946;0,441;0
CLOJURE_HASH_MAP;getCollision;100000;175,437;4,032;0
CLOJURE_HASH_MAP;getCollision;1000000;333,44;13,36;0
SCALA_HASH_MAP;getCollision;1;23,456;0,219;16
SCALA_HASH_MAP;getCollision;4;33,668;0,625;16
SCALA_HASH_MAP;getCollision;10;24,416;0,086;16
SCALA_HASH_MAP;getCollision;15;25,02;0,449;16
SCALA_HASH_MAP;getCollision;20;29,382;0,838;16
SCALA_HASH_MAP;getCollision;25;25,05;0,098;16
SCALA_HASH_MAP;getCollision;50;25,589;1,764;16
SCALA_HASH_MAP;getCollision;100;40,919;0,948;16
SCALA_HASH_MAP;getCollision;1000;43,965;1,263;16
SCALA_HASH_MAP;getCollision;10000;72,467;2,889;16
SCALA_HASH_MAP;getCollision;100000;103,848;6,85;16
SCALA_HASH_MAP;getCollision;1000000;245,103;50,776;16
SCALA_TREE_MAP;getCollision;1;25,676;0,89;16
SCALA_TREE_MAP;getCollision;4;28,964;0,905;16
SCALA_TREE_MAP;getCollision;10;34,013;1,229;16
SCALA_TREE_MAP;getCollision;15;35,456;0,811;16
SCALA_TREE_MAP;getCollision;20;37,62;1,073;16
SCALA_TREE_MAP;getCollision;25;39,039;0,987;16
SCALA_TREE_MAP;getCollision;50;43,922;1,088;16
SCALA_TREE_MAP;getCollision;100;54,796;0,548;16
SCALA_TREE_MAP;getCollision;1000;106,94;6,009;12,932
SCALA_TREE_MAP;getCollision;10000;132,563;0,477;0
SCALA_TREE_MAP;getCollision;100000;195,173;15,754;0
SCALA_TREE_MAP;getCollision;1000000;184,278;0,618;0
JAVASLANG_HASH_MAP;getCollision;1;16,137;0,059;16
JAVASLANG_HASH_MAP;getCollision;4;38,141;0,412;82
JAVASLANG_HASH_MAP;getCollision;10;68,818;0,393;111,2
JAVASLANG_HASH_MAP;getCollision;15;45,934;0,671;81,6
JAVASLANG_HASH_MAP;getCollision;20;49,857;0,436;84,4
JAVASLANG_HASH_MAP;getCollision;25;52,538;0,516;88,96
JAVASLANG_HASH_MAP;getCollision;50;39,169;0,262;76,96
JAVASLANG_HASH_MAP;getCollision;100;42,034;0,2;84,16
JAVASLANG_HASH_MAP;getCollision;1000;80,015;0,287;115,984
JAVASLANG_HASH_MAP;getCollision;10000;78,922;0,486;81,463
JAVASLANG_HASH_MAP;getCollision;100000;110,348;2,33;81,62
JAVASLANG_HASH_MAP;getCollision;1000000;281,668;7,73;95,35
JAVASLANG_TREE_MAP;getCollision;1;22,166;0,101;16
JAVASLANG_TREE_MAP;getCollision;4;27,809;0,146;56
JAVASLANG_TREE_MAP;getCollision;10;32,577;0,143;56
JAVASLANG_TREE_MAP;getCollision;15;33,602;0,078;56
JAVASLANG_TREE_MAP;getCollision;20;36,579;0,217;56
JAVASLANG_TREE_MAP;getCollision;25;38,376;0,126;56
JAVASLANG_TREE_MAP;getCollision;50;42,477;0,251;56
JAVASLANG_TREE_MAP;getCollision;100;47,612;0,301;56
JAVASLANG_TREE_MAP;getCollision;1000;89,486;0,283;56
JAVASLANG_TREE_MAP;getCollision;10000;126,491;3,515;56
JAVASLANG_TREE_MAP;getCollision;100000;149,662;9,956;56
